"","rank","song","singer","music_director","lyricist","movie","actors","year"
"1",1,"Ye Zindagi Usi Ki Hai, Jo Kisi Ka Ho Gaya, Pyar Hi Me Kho Gaya ","LataMangeshkar","Chitalkar Ramchandra","Rajinder Krishan","Anarkali","Bina Roy, Pradeep Kumar",1953
"2",2,"Shaam-E-Gham Ki Kasam ","TalatMahmood","Khayyam","Ali Sardar Jafri, Majrooh Sultanpuri","Footpath","Dilip Kumar",1953
"3",3,"Muhaabbat Ki Daastaan Aaj Suno ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Mayur Pankh","Sumitra Devi, Kishore Sahu, Asha Mathur",1953
"4",4,"Ae Gham-E-Dil Kya Karu (By Talat Mahmood) ","TalatMahmood","Sardar Malik","Majaz Lucknavi","Thokar","Shyama, Shammi Kapoor",1953
"5",5,"Yaad Kiya Dil Ne Kahaan Ho Tum ","HemantKumar,LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Patita","Usha Kiran, Dev Anand",1953
"6",6,"Zindagi Denewale Sun, Teri Duniya Se Dil Bhar Gaya ","TalatMahmood","Ghulam Mohammad","Shakeel Badayuni","Dil - E - Nadan","Talat Mahmood",1953
"7",7,"Aaja Re, Ab Mera Dil Pukara ","LataMangeshkar,Mukesh","Shankar Jaikishan","Hasrat Jaipuri","Aah","Nargis, Raj Kapoor",1953
"8",8,"Bahaaren Bech Daalin, Ai Pyaar Teri Duniyaa Se Ham ","LataMangeshkar","Chitalkar Ramchandra","Rajinder Krishan","Jhanjhar","Motilal, Kamini Kaushal",1953
"9",9,"Mausam Bita Jaye, Mausam Bita Jaye ","LataMangeshkar,MannaDey","Salil Chowdhury","Shailendra","Do Bigha Zamin","Balraj Sahni, Nirupa Roy, Meena Kumari, Ratan Kumar",1953
"10",10,"Kaare Badaraa Tu Na Jaa Na Jaa Bairi Tu Bides Na Jaa ","LataMangeshkar","Shankar Jaikishan","Shailendra","Shikast","Nalini Jaywant",1953
"11",11,"Aa Mohabat Ki Basti Basayege Hum ","LataMangeshkar,KishoreKumar","Anil Biswas","Majrooh Sultanpuri","Fareb","Shakuntala Paranjpye, Kishore Kumar",1953
"12",12,"Kahe Jaadu Kiya Aa ","ShamshadBegum","Shaukat Dehlvi Nashad","Nakhshab Jaaravchi","Naghma","Ashok Kumar, Nadira",1953
"13",1,"Jayen To Jayen Kahan, Samjhega Kaun Yaha Dard Bhare Dil Ki Juban ","TalatMahmood","Sachin Dev Burman","Sahir Ludhianvi","Taxi Driver","Dev Anand",1954
"14",2,"Man Dole Mera Tan Dole ","LataMangeshkar","Hemant Kumar","Rajinder Krishan","Nagin","Vyjayantimala, Pradeep Kumar, Jeevan",1954
"15",3,"Ye Lo Main Haari Piyaa, Hui Teri Jit Re ","GeetaDutt","O P Nayyar","Majrooh Sultanpuri","Aar Paar","Shakila, Guru Dutt",1954
"16",4,"Insaaf Ka Mandir Hai Ye Bhagavaan Ka Ghar Hai ","MohammedRafi","Naushad","Shakeel Badayuni","Amar","Dilip Kumar, Madhubala",1954
"17",5,"Rahi Matwale, Tu Chhed Ek Baar ","Suraiya,TalatMahmood","Anil Biswas","Qamar Jalalabadi","Waris","Suraiya, Talat Mahmood",1954
"18",6,"Chandaamaamaa Dur Ke Pue Pakaaen Bur Ke ","AshaBhosle","Ravi Shankar","Ravi","Vachan","",1954
"19",7,"Man Ki Bin Matwari Baje ","LataMangeshkar,MohammedRafi","Naushad","Shakeel Badayuni","Shabab","Nutan, Bharat Bhushan",1954
"20",8,"Kaise Koyi Jiye Jeher Hai Jindagi ","GeetaDutt","S K Pal, Timir Baran","Indeevar","Baadbaan","",1954
"21",9,"Chhota Sa Ghar Hoga Badlo Ki Chhanv Me ","KishoreKumar,UshaMangeshkar","Salil Chowdhury","Shailendra","Naukari","Sheela Ramani, Kishore Kumar",1954
"22",10,"Na Ye Chand Hoga Na Tare Rahenge (By Geeta Dutt) ","GeetaDutt","Hemant Kumar","S H Bihari","Shart","Shyama, Deepak",1954
"23",11,"Gayaa Andheraa Huaa Ujaaraa Chamakaa Chamakaa Subah Kaa Taaraa ","LataMangeshkar,TalatMahmood","Chitalkar Ramchandra","Noor Lucknowi","Subah Ka Tara","",1954
"24",12,"Kabhi Aar Kabhi Paar Laga Tire Najar ","ShamshadBegum","O P Nayyar","Majrooh Sultanpuri","Aar Paar","Guru Dutt, Shakila, Shyama",1954
"25",13,"Aaj Achanak Rut Key Mujh Se (Bolo He Zamin, Bolo Aasman) ","MohammedRafi","Avinash Vyas","Kavi Pradeep","Chakradhari","Nirupa Roy, Trilok Kapoor",1954
"26",14,"Jaadugar Sainyaa Chhodo Mori Bainyaa ","LataMangeshkar","Hemant Kumar","Rajinder Krishan","Nagin","Vyjayantimala, Pradeep Kumar",1954
"27",15,"Main Peeke Nahin Aaya ","TalatMahmood","Chitalkar Ramchandra","Rajinder Krishan","Kavi","Talat Mahmood",1954
"28",16,"Na Milta Gam To Barbadi Ke Afsaane Kaha Jate ","LataMangeshkar","Naushad","Shakeel Badayuni","Amar","Dilip Kumar, Nimmi",1954
"29",1,"Mera Joota Hai Japani Ye Panloon Englishtani ","Mukesh","Shankar Jaikishan","Shailendra","Shree 420","Raj Kapoor",1955
"30",2,"Meraa Salaam Le Ja, Dil Kaa Payaam Le Ja ","LataMangeshkar","Naushad","Shakeel Badayuni","Uran Khatola","Nimmi",1955
"31",3,"Man Dole Mera Tan Dole ","LataMangeshkar","Hemant Kumar","Rajinder Krishan","Nagin","Vyjayantimala, Pradeep Kumar, Jeevan",1955
"32",4,"Chale Aaj Tum Jahaan Se, O Dur Ke Musaafir ","MohammedRafi","Naushad","Shakeel Badayuni","Uran Khatola","Dilip Kumar, Nimmi",1955
"33",5,"Ichak Dana Bichak Dana ","Mukesh,LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Shree 420","Raj Kapoor, Nargis",1955
